,GDP cycle
1990-01-01,0.016627274879372322
1990-04-01,0.014291560397357017
1990-07-01,0.009147543064417007
1990-10-01,-0.005716328039556018
1991-01-01,-0.016097765430959754
1991-04-01,-0.014057181382796102
1991-07-01,-0.014828288455708716
1991-10-01,-0.01728755496553447
1992-01-01,-0.01148574886967424
1992-04-01,-0.006979437371301245
1992-07-01,-0.0036199146433819607
1992-10-01,7.694138564140474e-05
1993-01-01,-0.00514526951261729
1993-04-01,-0.006454871450042532
1993-07-01,-0.009036886542045153
1993-10-01,-0.0030989103957406172
1994-01-01,-0.001237821044226095
1994-04-01,0.004211327712120294
1994-07-01,0.0018207038429771671
1994-10-01,0.004788583437880689
1995-01-01,-0.0002920663459011763
1995-04-01,-0.006133900968626094
1995-07-01,-0.006681777359805352
1995-10-01,-0.009126229985188417
